MLS_NUMBER,OPEN_STATUS,LISTING_Date,LISTING_PRICE,LOCATION,SOLD_PRICE,URL,DAYS_ON_MARKET,LATITUDE,LONGTIDUE,ACRES,PRICE_PER_ARC
 12302027,For Sale,2023-08-21,"$7,750,000","6 beds • 5 baths • 1 half bath • 10,706 sq ft189 East Weber Canyon Road, Oakley, UT 84055 - Summit County",7750000,https://www.land.com/property/189-East-Weber-Canyon-Road-Oakley-Utah-84055/17476035/,14,40.723475,-111.277405,32,242188
 Elk Canyon Ranch,For Sale,2023-08-15,"$8,490,000","19272 Black Butte Rd, Lewistown, MT 59457 - Fergus County",8490000,https://www.land.com/property/3008-acres-in-Fergus-County-Montana/17178885/,20,47.167525,-109.10383,3,2830000
 30006198,For Sale,2023-08-09,"$3,490,000","4 beds • 2 baths • 1 half bath • 2,470 sq ft34777 Compass Lane, Polson, MT 59860 - Lake County",3490000,https://www.land.com/property/34777-Compass-Lane-Polson-Montana-59860/17137486/,26,47.70741,-114.05029,1.66,2102410
 1863806,For Sale,2023-08-23,"$3,500,000","4 beds • 3 baths • 1 half bath • 2,809 sq ft1797 W 5000 S, Myton, UT 84052 - Duchesne County",3500000,https://www.land.com/property/1797-W-5000-S-Myton-Utah-84052/17909577/,12,40.226085,-110.020085,973,3597
 23-6461,For Sale,2023-07-13,"$629,950","18093 S Hungry Hollow Drive, Harrison, ID 83833 - Kootenai County",629950,https://www.land.com/property/18093-S-Hungry-Hollow-Drive-Harrison-Idaho-83833/17562049/,53,47.51085,-116.78904,30,20998
null,For Sale,2023-06-04,"$1,400,000","4 beds • 3 baths • 2,800 sq ft985 Skelton Road, Thermopolis, WY 82443 - Hot Springs County",1400000,https://www.land.com/property/59.6-acres-in-Hot-Springs-County-Wyoming/16727422/,92,43.75474779999999,-108.1514149,59.6,23490
 98882077,For Sale,2023-08-22,"$1,600,000","3 beds • 2 baths • 1,852 sq ft806 High Valley Rd, Cascade, ID 83611 - Valley County",1600000,https://www.land.com/property/80-acres-in-Valley-County-Idaho/17363688/,13,44.223905,-116.15361,80,20000
null,For Sale,2023-07-19,"$1,540,000","Thermopolis, WY 82443 - Hot Springs County",1540000,https://www.land.com/property/650-acres-in-Hot-Springs-County-Wyoming/14765984/,47,,,650,2369
null,For Sale,2023-06-17,"$336,000","Beauty Valley Road, Lot#WP001, Circle, MT 59215 - McCone County",336000,https://www.land.com/property/320-acres-in-McCone-County-Montana/16954315/,79,47.3873,-105.8863,320,1050
 98699735,For Sale,2022-07-11,"$1,604,000","Jerome, ID 83338 - Jerome County",1604000,https://www.land.com/property/4.91-acres-in-Jerome-County-Idaho/5739701/,420,,,4.91,326680
 383069,For Sale,2023-08-03,"$2,310,000","3 beds • 2 baths • 1 half bath • 2,332 sq ftNorris, MT 59745 - Madison County",2310000,https://www.land.com/property/Norris-Montana-59745/17262848/,32,45.538201,-111.691981,121.75,18973
 20233337,For Sale,2023-08-04,"$1,649,999","4 beds • 2 baths • 1 half bath • 3,948 sq ft1204 Lane 13, Worland, WY 82401 - Washakie County",1649999,https://www.land.com/property/39.5-acres-in-Washakie-County-Wyoming/17856419/,31,43.99254399999999,-107.9498931,39.5,41772
 30008892,For Sale,2023-08-24,"$5,750,000","5 beds • 4 baths • 2 half baths • 5,205 sq ft360 Tetrault Rd, Kalispell, MT 59901 - Flathead County",5750000,https://www.land.com/property/35.14-acres-in-Flathead-County-Montana/18048090/,11,48.3170745,-114.275471,35.14,163631
